user,churn,age,housing,purchases_partners,cc_application_begin,app_downloaded,web_user,android_user,payment_type,zodiac_sign,left_for_two_month_plus,left_for_one_month,reward_rate,is_referred
59394,1,21.0,na,0,0,1,0,1,Bi-Weekly,Aquarius,0,0,0.0,0
50931,1,28.0,na,0,8,1,1,1,Weekly,Aquarius,0,0,1.03,0
28738,0,27.0,R,65,4,1,0,0,na,Scorpio,0,1,2.2,1
55968,0,44.0,na,0,0,1,1,1,Monthly,Aquarius,0,0,0.0,0
50686,1,39.0,O,0,6,1,1,0,Bi-Weekly,Capricorn,0,0,0.4,1
36115,1,27.0,na,0,0,1,1,0,Monthly,Pisces,1,0,0.0,0
19748,1,30.0,R,1,27,1,1,1,Bi-Weekly,Gemini,1,0,1.73,0
46479,0,41.0,O,19,1,1,0,1,Bi-Weekly,Scorpio,0,0,0.6,0
15946,0,32.0,R,8,24,1,1,0,Bi-Weekly,Cancer,0,0,2.23,0
14304,1,23.0,na,0,14,1,0,1,Semi-Monthly,Virgo,0,0,2.57,0
24458,0,49.0,R,0,1,1,0,1,Monthly,Gemini,0,0,1.5699999999999998,0
65097,0,30.0,na,0,0,0,1,0,Weekly,Libra,0,0,0.0,0
13696,0,27.0,O,62,1,1,0,0,Weekly,Virgo,1,0,1.63,1
28559,1,38.0,R,0,7,1,1,1,Bi-Weekly,na,0,0,1.27,0
66803,0,30.0,na,4,1,1,1,0,Monthly,Leo,0,0,0.67,0
39348,0,30.0,na,6,1,1,1,1,Bi-Weekly,Libra,0,0,0.22,1
67502,0,43.0,na,0,0,0,1,0,Bi-Weekly,na,0,0,0.0,0
47670,0,24.0,R,50,8,1,1,1,Weekly,Aries,0,0,2.3,0
15460,1,44.0,R,10,1,1,1,0,Bi-Weekly,Taurus,0,0,0.93,0
28105,0,48.0,na,0,0,1,1,0,Bi-Weekly,Leo,0,0,0.0,0
36661,1,31.0,R,0,2,1,1,1,Weekly,Scorpio,0,0,2.27,0
20620,0,25.0,R,22,2,1,0,0,na,Scorpio,0,0,0.53,0
6626,0,29.0,na,48,5,1,0,1,na,Taurus,1,0,1.37,0
37649,1,29.0,na,20,1,1,1,1,Bi-Weekly,Gemini,0,0,0.5700000000000001,0
3216,0,37.0,na,57,4,1,1,0,Bi-Weekly,Capricorn,0,0,1.23,0
61055,0,52.0,na,1,0,1,0,1,Bi-Weekly,Cancer,0,0,0.0,1
19439,0,22.0,R,84,6,1,1,1,na,Cancer,0,0,1.63,0
27161,0,23.0,R,42,20,1,0,0,Bi-Weekly,Pisces,0,0,1.3,0
27645,0,30.0,na,76,19,1,1,0,Monthly,Taurus,0,0,1.93,1
68191,0,19.0,na,3,0,1,0,1,Monthly,Pisces,0,0,0.5,0
1433,1,24.0,na,3,0,1,1,1,Weekly,Sagittarius,0,0,0.0,0
15210,1,32.0,R,0,5,1,1,1,Bi-Weekly,Virgo,0,0,2.2,0
19874,1,26.0,R,17,3,1,0,1,Bi-Weekly,Taurus,1,0,0.2,0
47226,0,28.0,na,1,1,1,0,1,Weekly,Libra,1,0,0.03,0
3270,1,28.0,na,0,0,1,1,0,na,Taurus,0,0,1.17,0
39320,0,30.0,na,3,0,1,1,1,Weekly,na,0,0,0.1,0
23473,0,30.0,R,75,9,1,0,1,Weekly,Taurus,0,0,1.53,1
8135,1,25.0,R,0,3,1,1,1,Bi-Weekly,Taurus,0,0,0.2,0
6659,1,35.0,R,3,6,1,1,0,na,Sagittarius,0,0,1.4300000000000002,0
1037,0,23.0,O,8,9,1,1,1,Bi-Weekly,Sagittarius,1,0,2.23,0
30942,1,25.0,R,0,6,1,0,1,na,Sagittarius,0,0,1.83,0
1532,0,27.0,na,58,1,1,0,1,Bi-Weekly,Aquarius,0,0,1.23,0
11288,1,36.0,R,3,1,1,1,1,Bi-Weekly,Gemini,1,0,1.47,1
61888,1,47.0,na,0,0,1,1,0,Bi-Weekly,na,0,0,0.0,0
59701,0,34.0,R,1,5,1,1,1,Bi-Weekly,Sagittarius,0,0,0.2,1
67921,0,24.0,na,0,0,0,1,0,na,Libra,0,0,0.0,0
12547,1,34.0,R,0,4,1,1,1,Semi-Monthly,Scorpio,0,0,2.17,1
29082,1,36.0,na,28,3,1,1,1,Semi-Monthly,Aries,0,0,0.63,0
10407,1,32.0,na,0,4,1,1,0,Weekly,Pisces,0,0,1.93,0
3964,0,35.0,na,8,4,1,1,1,Bi-Weekly,Virgo,0,0,1.97,0
53838,1,32.0,R,0,0,1,1,0,na,Cancer,0,0,0.2,0
58556,1,27.0,na,0,0,1,1,0,Weekly,Gemini,1,0,0.0699999999999999,0
45837,0,27.0,R,78,17,1,0,0,Semi-Monthly,Gemini,1,0,1.7,0
55214,0,41.0,O,0,1,1,1,1,Bi-Weekly,Gemini,0,0,0.43,0
20035,1,24.0,na,30,5,1,0,1,na,Libra,0,0,0.77,0
44732,0,52.0,na,0,2,1,0,0,Bi-Weekly,Virgo,0,0,0.33,0
32458,0,31.0,R,8,13,1,1,1,na,Taurus,1,0,2.2,0
39443,0,44.0,R,0,1,1,1,0,Weekly,Virgo,1,1,0.0,0
